country,customer,deadline,description,number,price,url_addr
BLR,"ИООО ""ЛУКОЙЛ Белоруссия""",2019-07-24,"Поставка автохимии для автомобильный моек АЗС (МАЗС) № 1,4,5,15,22,51,61,63,64,65,68 ИООО ""ЛУКОЙЛ Белоруссия"" в 2019-2020 году"".",2019-725745,0,http://www.icetrade.by/tenders/all/view/725745
BLR,"УП ""УКС МИНГОРИСПОЛКОМА""",2019-07-16,Выбор поставщика стрелкового оборудования (3 Лота) (ТХ.СО)   для объекта строительства «Реконструкция комплекса объектов стадиона «Динамо» в г.Минске». (Стрелковый тир),2019-726452,0,http://www.icetrade.by/tenders/all/view/726452
BLR,"КУМПП ЖКХ ""Брестское ЖКХ""",2019-07-15,Выбор организации на выполнение строительно-монтажных работ по восстановлению покрытия по объекту: : «Текущий ремонт покрытия из плитки тротуарной на территории погранперехода «Домачево»»,2019-727012,3 000,http://www.icetrade.by/tenders/all/view/727012
BLR,Минсельхозпрод,2019-07-29,услуга по разработке технического задания на разработку информационной системы по ведению карты истории полей и севооборота для Министерства сельского хозяйства Республики Беларусь,2019-727437,88 029,http://www.icetrade.by/tenders/all/view/727437
BLR,Отдел по образованию Миорского районного исполнительного комитета,2019-07-17,спортивный инвентарь,2019-726994,24 000,http://www.icetrade.by/tenders/all/view/726994
BLR,"УП ""БЕЛМЕДТЕХНИКА""",2019-07-19,"БелМТ №524/19-ЭА ""Гемодинамический монитор пациента""",2019-724710,5 473.49,http://www.icetrade.by/tenders/all/view/724710
BLR,"ОАО ""Нафтан""",2019-07-18,"Насосные агрегаты Н-5, Н-6 (2 позиции): Позиция 1 - Агрегат электронасосный центробежный одноступенчатый с горизонтальным разъемом корпуса и рабочим колесом двустороннего входа Н-5 в комплекте с запасными частями производства №7 (установка «УОВ-3») в комплектации согласно Приложению №1. Позиция 2 – Насос центробежный для перекачки нефраса С2-80/120 (бензина-растворителя) Н-6 цеха №8 (участок 4 Новая база нефти) в комплектации согласно Приложению №2.",2019-722674,0,http://www.icetrade.by/tenders/all/view/722674
BLR,"Учреждение образования ""Гомельское государственное училище олимпийского резерва""",2019-07-25,Лодки для спортивной гребли,2019-724425,393 100,http://www.icetrade.by/tenders/all/view/724425
BLR,РНПЦ детской хирургии,2019-07-19,Бумага для офисной техники  (формат  А4),2019-725629,0,http://www.icetrade.by/tenders/all/view/725629
BLR,"Государственное предприятие ""УКС Слонимского района""",2019-07-25,"выбор генерального подрядчика для строительства объекта (выполнения строительно-монтажных работ) «Строительство гаража на пять легковых автомобилей с тремя складскими помещениями, двух вольеров для служебных собак и полосы препятствий для занятия со служебными собаками с благоустройством территории в Дятловском отделе Департамента охраны МВД Республики Беларусь в г. Дятлово по ул. Фогеля, 15»",2019-726417,209 966.27,http://www.icetrade.by/tenders/all/view/726417
